company_id,cluster_id,centroid_distance
TRENT,0,3.873688671278528
ICICIPRULI,4,3.6292832373311614
GRASIM,0,3.227614450490225
TATACONSUM,0,2.5147024718872224
CANBK,3,2.464591251517166
AXISBANK,3,2.384324953873912
ADANIGREEN,3,2.2525413243139885
SBIN,0,2.048968510940972
INDIGO,4,1.9856059905295995
RECLTD,3,1.7889451170443629
HCLTECH,0,1.7638829626735824
KOTAKBANK,4,1.728453365805808
IRFC,3,1.6454491853479318
SHREECEM,0,1.5705319931399624
BANKBARODA,3,1.5686996397964923
