company_id,cluster_id,centroid_distance,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,revenue_cagr,fcf_cagr_5yr
TATACONSUM,0,2.5147024718872224,7.57,0.22,15.02,6.86,71.02
TATAMOTORS,0,0.30637839628719676,37.46,1.26,13.6,7.31,17.93
TATAPOWER,0,0.8593198263137042,13.23,1.66,17.47,5.56,34.87
TATASTEEL,0,1.3311749810126359,-5.33,0.95,9.71,4.21,-8.71
TCS,0,0.4859347846727094,50.94,0.09,26.69,12.25,10.77
TECHM,0,0.8681921666110748,8.99,0.1,8.67,18.46,3.32
TITAN,0,1.046773057802147,37.22,1.65,10.36,15.05,-1.58
TORNTPHARM,0,0.53016870541142,24.15,0.59,31.39,11.08,10.88
TRENT,0,3.8736886712785283,36.31,0.43,15.93,17.67,100.02
TVSMOTOR,0,1.1045106884176537,26.22,3.83,14.05,15.63,21.130000000000003
