company_id,metric_type,period_years,parsed_value_pct,computed_cagr_pct,divergence_pct
SBILIFE,compounded_profit_growth,5,6.0,11.14,5.14
SBILIFE,compounded_profit_growth,3,9.0,16.98,7.98
